split,smiles,scaffold
train,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,C1CCC(CC2CCCC(C3CC(C4CCCC4)C4CCCCC34)C2)CC1
train,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2[C@@H]1CCC[C@H]1O,C1CCC(CC2CCC(C3CC(C4CCCC4)C4CCCCC34)CC2)CC1
train,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2[C@@H]1C[C@@H](O)[C@@H](O)C1,C1CCC(CC2CCC(C3CC(C4CCCC4)C4CCCCC34)CC2)CC1
train,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,C1CCC(CC2CCC(C3CCC4CCCCC43)CC2)CC1
train,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(C(=O)[O-])n2C1CCCC1,C1CCC(CC2CCC(C3CC(C4CCCC4)C4CCCCC34)CC2)CC1
train,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(Br)n2C1CCCC1,C1CCC(CC2CCC(C3CC(C4CCCC4)C4CCCCC34)CC2)CC1
train,COCc1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,C1CCC(CC2CCC(C3CC(C4CCCC4)C4CCCCC34)CC2)CC1
train,C[C@H](O)c1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,C1CCC(CC2CCC(C3CC(C4CCCC4)C4CCCCC34)CC2)CC1
train,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(Cl)n2C1CCCC1,C1CCC(CC2CCC(C3CC(C4CCCC4)C4CCCCC34)CC2)CC1
train,Clc1ccc(Oc2nnc(Cc3ccncc3)c3ccccc23)cc1,C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1
train,Clc1ccc(Nc2nnc(NCc3ccncc3)c3ccccc23)cc1,C1CCC(CCC2CCC(CC3CCCCC3)C3CCCCC23)CC1
train,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccncc23)cc1,C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1
train,Clc1ccc(Nc2nnc(Cc3ccncc3)c3cnccc23)cc1,C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1
train,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1
train,COc1cccc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1,C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1
train,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1scnc1CCc1cnoc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCC1
train,CC(C)c1ccc(NC(=O)c2scnc2CCc2cnoc2)cc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCC1
train,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1scnc1CCc1ccncc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCCC1
train,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2ccncc2)cc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCCC1
train,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1ccncc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCCC1
train,O=C(Nc1ccc(Cc2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,CC(CC1CCC(CC2CCCCC2)CC1)C1CCCCC1CC1CCC2CCCC2C1
train,O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,CC(CC1CCC(CC2CCCCC2)CC1)C1CCCCC1CC1CCC2CCCC2C1
train,O=C(Nc1ccc(-c2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,CC(CC1CCC(C2CCCCC2)CC1)C1CCCCC1CC1CCC2CCCC2C1
train,O=C(Nc1ccc(N2CCOCC2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,CC(CC1CCC(C2CCCCC2)CC1)C1CCCCC1CC1CCC2CCCC2C1
train,CC(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3cnccc32)cc1,CC(CC1CCCCC1)C1CCCCC1CC1CCC2CCCCC21
train,O=C(Nc1ccc(Cl)cc1)c1ccccc1Cn1cc(-c2ccncc2)cn1,CC(CC1CCCCC1)C1CCCCC1CC1CCC(C2CCCCC2)C1
train,FC(F)(F)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,C1CCC(CCC2CCCCC2C2CCC(CC3CCCCC3)C2)CC1
train,FC(F)(Cl)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,C1CCC(CCC2CCCCC2C2CCC(CC3CCCCC3)C2)CC1
train,CC(C)c1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,C1CCC(CCC2CCCCC2C2CCC(CC3CCCCC3)C2)CC1
train,O=C(NCc1ccccc1)c1ccc(F)c(NCc2cnc(Nc3ccccn3)s2)c1,CC(CCC1CCCCC1)C1CCCC(CCC2CCC(CC3CCCCC3)C2)C1
train,O=C(Nc1ccc(Oc2ccccc2)cc1)c1cccnc1NCc1ccncc1,CC(CC1CCC(CC2CCCCC2)CC1)C1CCCCC1CCC1CCCCC1
train,Nc1nccc2scc(-c3ccc(NC(=O)c4ccccc4)cc3)c12,CC(CC1CCC(C2CCC3CCCCC32)CC1)C1CCCCC1
train,N#Cc1cnc(Nc2ccc(CCO)cc2)nc1-c1cccs1,C1CCC(CC2CCCC(C3CCCC3)C2)CC1
train,Cc1noc(NCc2ccncc2)c1C(=O)Nc1ccc(OC(F)(F)F)cc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCCC1
train,CC(C)c1ccc(NC(=O)c2c(NCc3ccncc3)cnn2C)cc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCCC1
train,Cn1cnc(NCc2ccncc2)c1C(=O)Nc1cnc2ccccc2c1,CC(CC1CCC2CCCCC2C1)C1CCCC1CCC1CCCCC1
train,CC(C)c1ccc(NC(=O)c2c(NCc3ccncc3)ncn2C)cc1,CC(CC1CCCCC1)C1CCCC1CCC1CCCCC1
train,O=C([O-])CCNC(=O)c1cccc2c1Cc1c(-c3ccsc3)n[nH]c1-2,C1CCC2C(C1)CC1C(C3CCCC3)CCC21
train,CCOC(=O)CC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1,C1CCC(CCCCC2CCC(C3CCC4C5CCCCC5CC34)C2)CC1
train,COCCOCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1,C1CCC(CCCCC2CCC(C3CCC4C5CCCCC5CC34)C2)CC1
train,CC(C)c1cc(/C=C(\C#N)C(=O)NCCCc2ccccc2)cc(C(C)C)c1O,CC(CCCCC1CCCCC1)CCC1CCCCC1
train,Nc1nccc(/C=C/c2c(-c3ccccc3)nc3sccn23)n1,C1CCC(CCC2C3CCCC3CC2C2CCCCC2)CC1
train,C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,C1CCC(CCC2C3CCCC3CC2C2CCCCC2)CC1
train,CNc1nccc(/C=C/c2c(-c3ccccc3)nc3sccn23)n1,C1CCC(CCC2C3CCCC3CC2C2CCCCC2)CC1
train,Fc1ccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)cc1Br,C1CCC(CCC2CC3CCCC(CC4CCCCC4)C3C2)CC1
train,Nc1nc(Nc2ccc(F)c(Br)c2)c2cc(CCc3ccccc3)[nH]c2n1,C1CCC(CCC2CC3CCCC(CC4CCCCC4)C3C2)CC1
train,O=C(CCc1cn(Cc2ccc(Cl)cc2)c2ccccc12)Nc1ccncc1,CC(CCC1CC(CC2CCCCC2)C2CCCCC12)CC1CCCCC1
train,Cc1cccc(C(=O)Nc2cccc3cccnc23)c1O,CC(CC1CCCC2CCCCC21)C1CCCCC1
train,O=C(COc1cccc(NC(=O)c2cccnc2)c1)Nc1ccc(Br)cc1,CC(CCC1CCCC(CC(C)C2CCCCC2)C1)CC1CCCCC1
train,O=C(Nc1ccc(Oc2ncnc3sc4c(c23)CCCC4)cc1)c1ccccc1,CC(CC1CCC(CC2CCCC3CC4CCCCC4C23)CC1)C1CCCCC1
train,NC(=O)c1c(-c2ccncc2)nn(-c2ccccc2)c1N,C1CCC(C2CCC(C3CCCCC3)C2)CC1
train,C[NH+]1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(CNC(=O)Oc5ccccc5)cc4)[nH]n3)cc2)CC1,CC(CCC1CCC(C2CCC(CC(C)C3CCC(C4CCCCC4)CC3)C2)CC1)CC1CCCCC1
train,O=S(=O)(Cc1ccccc1)Nc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1,CC(C)(CC1CCCCC1)CC1CCCC(CCC2CCCC3C(CCC4CCCCC4)CCC23)C1
train,COc1ccc(S(=O)(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc3ccccc3)c2)cc1,CC(C)(CC1CCCC(CCC2CCCC3C(CCC4CCCCC4)CCC23)C1)C1CCCCC1
train,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc3ccccc3)c2)cc1,CC(C)(CC1CCCC(CCC2CCCC3C(CCC4CCCCC4)CCC23)C1)C1CCCCC1
train,O=S(=O)(Nc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1)c1ccc(Br)cc1,CC(C)(CC1CCCC(CCC2CCCC3C(CCC4CCCCC4)CCC23)C1)C1CCCCC1
train,O=S(=O)(Nc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1)c1ccccc1,CC(C)(CC1CCCC(CCC2CCCC3C(CCC4CCCCC4)CCC23)C1)C1CCCCC1
train,O=C(Nc1ccc(Br)cc1)Nc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1,CC(CC1CCCCC1)CC1CCCC(CCC2CCCC3C(CCC4CCCCC4)CCC23)C1
train,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc3ccccc3)c2)cc1,CC(CC1CCCC(CCC2CCCC3C(CCC4CCCCC4)CCC23)C1)C1CCCCC1
train,CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccccc5)CC4)cc3)n2)c1,CC(CC1CCCCC1)C1(C(C)CC2CCC(CC3CCCC(CC4CCCCC4)C3)CC2)CC1
train,CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(Br)cc5)CC4)cc3)n2)c1,CC(CC1CCCCC1)C1(C(C)CC2CCC(CC3CCCC(CC4CCCCC4)C3)CC2)CC1
train,CNC(=O)Cn1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,C1CCC(CC2CCC(C3CCC4C(C5CCCC5)CCCC34)CC2)CC1
train,Cn1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,C1CCC(CC2CCC(C3CCC4C(C5CCCC5)CCCC34)CC2)CC1
train,Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,CC(CC1CCC(C2CCCC3C(C4CCC(CC5CCCCC5)CC4)CCC23)C1)C1CCCCC1
train,O=C(CCCCCCOc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1)NO,C1CCC(CCC2CCCC3CC(C4CCCCC4)CC23)CC1
train,O=C(NO)c1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,C1CCC(CCC2CCCC3CC(C4CCCCC4)CC23)CC1
train,O=C(c1cccnc1)N1CCc2nc(Nc3ccsc3)ncc2C1,CC(C1CCCCC1)C1CCC2CC(CC3CCCC3)CCC2C1
